TITLE:maoudamashii_fantasy13
WAVE:otoge_main\\bgm_maoudamashii_fantasy13.wav
BPM:120
OFFSET:-1.0
#START
100000,010000,001000,000100
000100,001000,010000,100000
100000,010000,001000,000100
000100,001000,010000,100000
000100,001000,010000,100000
100000,010000,001000,000100
000100,001000,010000,100000
100000,010000,001000,000100
100010,010001,001000,000100
100010,010001,001000,000100
000100,001000,010001,100010
000100,001000,010001,100010
100010,010001,001000,000100
100010,010001,001000,000100
000100,001000,010001,100010
000100,001000,010001,100010
101000,010100,101000,010100
010100,101000,010100,101000
101000,010100,101000,010100
010100,101000,010100,101000
101000,010100,101000,010100
010100,101000,010100,101000
101000,010100,101000,010100
010100,101000,010100,101000
100010,010001,001000,000100
100010,010001,001000,000100
000100,001000,010001,100010
000100,001000,010001,100010
100010,010001,001000,000100
100010,010001,001000,000100
000100,001000,010001,100010
000100,001000,010001,100010
100000,010000,001000,000100
000100,001000,010000,100000
100000,010000,001000,000100
000100,001000,010000,100000
000100,001000,010000,100000
100000,010000,001000,000100
000100,001000,010000,100000
100000,010000,001000,000100
100010,010001,001000,000100
100010,010001,001000,000100
000100,001000,010001,100010
000100,001000,010001,100010
100010,010001,001000,000100
100010,010001,001000,000100
000100,001000,010001,100010
000100,001000,010001,100010
101000,010100,101000,010100
010100,101000,010100,101000
101000,010100,101000,010100
010100,101000,010100,101000
101000,010100,101000,010100
010100,101000,010100,101000
101000,010100,101000,010100
010100,101000,010100,101000
100010,010001,001000,000100
100010,010001,001000,000100
000100,001000,010001,100010
000100,001000,010001,100010
100010,010001,001000,000100
100010,010001,001000,000100
000101,001000,010001,100010
000100,001001,010000,100011
